id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,calculated_host_listings_count,availability_365
9138664,Private Lg Room 15 min to Manhattan,47594947,Iris,Queens,Sunnyside,Private room,74,2,6,2019-05-26,1,5
31444015,"TIME SQUARE CHARMING ONE BED IN HELL'S KITCHEN,NYC",8523790,Johlex,Manhattan,Hell's Kitchen,Entire home/apt,170,3,0,,1,188
8741020,Voted #1 Location Quintessential 1BR W Village Apt,45854238,John,Manhattan,West Village,Entire home/apt,245,3,51,2018-09-19,1,0
34602077,Spacious 1 bedroom apartment 15min from Manhattan,261055465,Regan,Queens,Astoria,Entire home/apt,125,3,1,2019-05-24,1,13
23203149,Big beautiful bedroom in huge Bushwick apartment,143460,Megan,Brooklyn,Bushwick,Private room,65,2,8,2019-06-23,2,8
4402805,LRG 2br BKLYN APT CLOSE TO TRAINS AND PARK,22807362,Jenny,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,120,3,3,2018-08-28,1,16
30070126,✩Prime Renovated 1/1 Apartment in Upper East Side✩,4968673,Sean,Manhattan,Upper East Side,Entire home/apt,200,5,2,2019-05-26,1,71
34231172,Fully renovated brick house floor in Brooklyn,59642348,Kevin,Brooklyn,Sunset Park,Entire home/apt,95,1,9,2019-07-08,1,106
5856760,"Renovated 1BR in exciting, convenient area",29408349,Chad,Manhattan,Chinatown,Entire home/apt,179,5,7,2017-04-18,1,0
7929441,Beautiful Loft w/ Waterfront View!,1453898,Anthony,Brooklyn,Williamsburg,Private room,105,2,232,2019-06-19,3,64
35468220,Forest Hills Charming 1 bdrm apartment!,7599704,Sasha,Queens,Forest Hills,Entire home/apt,75,1,0,,1,7
18340498,Private bedroom and bathroom near Prospect Park,33723491,Suzzanne,Brooklyn,Flatbush,Private room,39,2,7,2017-09-29,1,0
34760,Sunny Room in Old Historical Brooklyn Townhouse,149929,Obed,Brooklyn,Fort Greene,Private room,44,8,27,2019-06-29,5,280
15982208,"Huge Yellow Room- AC, 20 Min to Manhattan",103841276,Cristina And Sasha,Brooklyn,Bushwick,Private room,45,1,158,2019-06-25,2,201
14994076,Dominiques NYC 4Bedrm crashpad**Stay here**metro,310670,Vie,Bronx,Eastchester,Entire home/apt,299,2,2,2019-05-21,13,358
7126110,Sunny East Village Bedroom,37325763,Noah,Manhattan,East Village,Private room,100,1,0,,1,0
35005489,Exquisite Park Slope Paradise,229604812,Jake,Brooklyn,Windsor Terrace,Entire home/apt,300,3,0,,1,335
22702906,Cozy Brownstone Brooklyn Studio Near Subway!!,6291509,Daniel,Brooklyn,Boerum Hill,Entire home/apt,160,4,4,2018-09-26,1,14
25015496,"5min from JFK airport, Train, Casino,  Racetrack",189108951,Doris,Queens,South Ozone Park,Entire home/apt,93,2,48,2019-06-22,1,316
7074488,"Bilevel Penthouse: Park, City Views",43772,David,Brooklyn,Greenpoint,Entire home/apt,272,3,3,2015-08-31,1,0
34432701,THE STUDIO LODGE NYC,20012998,Víctor,Brooklyn,Bedford-Stuyvesant,Private room,60,3,3,2019-06-30,2,322
15971308,Private Room with Private Bathroom in Harlem,1301576,Siobhan,Manhattan,East Harlem,Private room,85,3,97,2019-06-24,2,14
22078755,Bohemian East Village Apartment,50292311,Brian,Manhattan,East Village,Entire home/apt,250,4,17,2019-05-28,1,5
27454297,Brooklyn Style Hostel RM4 #1,119669058,Melissa,Brooklyn,Bedford-Stuyvesant,Shared room,36,3,12,2019-06-19,34,361
19382104,Stylish Share With Exposed Brick In Brooklyn,25064774,Eden,Brooklyn,Bedford-Stuyvesant,Private room,33,14,1,2017-07-16,1,0
8953404,LARGE BEDROOM CLOSE TO MANHATTAN,45416627,Lolita,Queens,Astoria,Private room,55,1,78,2019-06-20,9,311
16323239,Spacious 2 BDR - Hell's Kitchen/Times Square,2559886,Sy,Manhattan,Hell's Kitchen,Entire home/apt,130,4,2,2017-11-30,1,0
22064197,Upper West Side Central Park apartment,20153029,Tal,Manhattan,Upper West Side,Entire home/apt,190,7,0,,1,0
21786337,Master Bedroom in Harlem - 20 min to Midtown!,64837680,Andrea,Manhattan,Harlem,Private room,60,1,1,2018-01-01,1,0
10166820,Brooklyn apartment 20 min to Manhattan,486147,Christopher,Brooklyn,Park Slope,Private room,63,30,17,2018-09-01,1,73
15894199,Crown Heights Duplex Apt.,103087934,Martha,Brooklyn,Crown Heights,Entire home/apt,158,4,61,2019-05-31,1,264
31670237,Dominiques Homesharing  room NYC* metro*quiet*safe,310670,Vie,Bronx,Eastchester,Private room,68,2,0,,13,364
26125349,Beautiful apartment in Greenpoint,502897,Malu,Brooklyn,Greenpoint,Entire home/apt,150,5,1,2018-06-20,1,0
15928635,"Sunny, Cozy, Private Room In The Heart of Bushwick",278393,Dylana,Brooklyn,Bushwick,Private room,40,2,96,2019-06-24,3,78
18459547,Dumbo Penthouse Loft with Outdoor Spaces & Views,1349266,Adam,Brooklyn,Vinegar Hill,Entire home/apt,186,30,1,2019-06-11,1,1
22546236,SJU大学,133825714,Peng,Queens,Flushing,Shared room,30,1,0,,1,0
29614352,Steps from Times Square and Subway!,9489892,Serim,Manhattan,Hell's Kitchen,Private room,99,1,15,2019-06-16,1,0
19967657,Sanjay's Art Lab - Prime LES - Quintessential NYC,16549535,Sanjay,Manhattan,Lower East Side,Entire home/apt,50,1,6,2018-09-28,1,0
13042051,Modern Williamsburg Condo near restaurants + metro,43339525,Jeff,Brooklyn,Williamsburg,Entire home/apt,178,2,22,2018-10-21,1,3
13740793,Beautiful Elevator Bldg near Columbia University,76590834,Omar,Manhattan,Upper West Side,Private room,65,1,0,,1,0
33869355,"Cozy big Apt, Manhattan, Columbia, Central Park",163365183,Sijia,Manhattan,Morningside Heights,Shared room,34,5,0,,1,14
19890678,Sunny room with a Balcony in Prospect Heights,513517,Tak,Brooklyn,Crown Heights,Private room,59,2,1,2018-05-25,1,0
24792114,Sunny apartment,3405917,Juliana,Queens,Sunnyside,Private room,55,3,26,2019-06-17,1,1
7788880,"Home 4 Medical Professionals- The ""Camphor""",26377263,Stat,Brooklyn,Bushwick,Private room,47,30,4,2018-08-18,43,144
6130145,Moma Casanova. New Additions!,29871437,Ester,Queens,Sunnyside,Private room,78,3,113,2019-07-01,1,285
1300216,1 Bdrm Apt  2 blocks to subway 15 mins to Midtown,2135948,Giovanni,Queens,Astoria,Entire home/apt,100,1,102,2019-07-03,1,33
34313601,Large 1 BR *** Featured on This Old House,29659188,Kevin And Karen,Brooklyn,Prospect Heights,Entire home/apt,279,2,11,2019-07-06,1,112
3565617,Modern sunny one bed apt,17953139,Oisin,Manhattan,Lower East Side,Entire home/apt,175,7,9,2018-12-07,1,255
5271997,NEW YORK CITY!!! LOCATION LOCATION!,6716330,Chris,Manhattan,Upper West Side,Private room,125,3,124,2019-06-24,3,347
27633987,One bedroom apt in a brownstone - Manhattan,208531763,Féven,Manhattan,Harlem,Entire home/apt,112,4,9,2019-06-22,1,89
3642801,"Cozy Brooklyn  studio, 30 min to Manhattan",2052361,Katya,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,80,3,24,2019-06-23,3,19
7615409,AMAZING 1 BR APT LES/Chinatown NYC,39938343,Aleksey,Manhattan,Lower East Side,Entire home/apt,145,6,13,2018-06-03,1,0
34860021,"Spacious sunny 1 bedroom, steps away from subway",262803937,Roddison,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,90,2,4,2019-06-24,1,73
10184162,In the heart of Williamsburg,50466143,Louis,Brooklyn,Williamsburg,Private room,65,2,0,,1,0
35575973,Luxury Building one stop from midtown Manhattan !!,265422938,泽宇,Queens,Long Island City,Private room,149,2,0,,2,53
8685857,Spacious Brooklyn Getaway,42713726,Emily,Brooklyn,Crown Heights,Private room,80,1,1,2016-01-05,1,0
951944,Quiet Studio in Prime SoHo,1408973,Dom,Manhattan,SoHo,Entire home/apt,235,3,73,2019-07-05,1,44
29881570,New york Cozy Studio Near multiple metro Lines,12131971,Maria,Manhattan,Midtown,Entire home/apt,140,1,3,2018-12-09,1,0
10056541,"Bright Studio - Park Slope, BK",10807649,Yehua,Brooklyn,South Slope,Entire home/apt,61,2,20,2019-05-30,1,0
24327546,Cozy & warm private studio apartment in Astoria,80885460,Amy,Queens,Ditmars Steinway,Entire home/apt,100,2,6,2019-06-16,1,0
1130680,It's all about Bushwick BROOKLYN,55176,Madison,Brooklyn,Bushwick,Entire home/apt,100,3,308,2019-07-05,1,99
23754446,1 bedroom apartment on West 34th street,76104209,Rated,Manhattan,Midtown,Entire home/apt,200,30,0,,33,365
26803876,"Brooklyn studio by the park, 30 min to Manhattan",2052361,Katya,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,80,3,2,2019-06-10,3,0
6652755,The Art Loft! Spacious and Bright!,16718896,Kim,Brooklyn,Bedford-Stuyvesant,Entire home/apt,145,5,25,2018-01-02,1,0
12396603,Dean Street Oasis,20942935,Miriam,Brooklyn,Crown Heights,Private room,66,1,1,2016-05-02,1,0
7665764,US Open? Perfect Lg 1 BR apartment,40244009,Marvin,Queens,Sunnyside,Entire home/apt,150,3,2,2015-09-13,1,0
10801094,FT Greene Flat Private Entrance,11189753,Sj,Brooklyn,Fort Greene,Entire home/apt,225,10,10,2019-06-24,4,350
